,ID,Condition,ilm_sent_mean_surp,ilm_target_mean_surp,distilgpt2_sent_mean_surp,distilgpt2_target_mean_surp,gptneo_sent_mean_surp,gptneo_target_mean_surp,ilm_len_tokens,distilgpt2_len_tokens,gptneo_len_tokens,plausible_sent,plausible_distractor
0,1,a,4.38,12.33,4.83,10.43,4.18,9.72,38,38,38,1,1
1,1,b,4.47,13.37,4.83,10.7,4.19,10.34,38,38,38,1,0
2,1,c,4.45,16.24,4.93,12.63,4.25,16.07,38,38,38,0,1
3,1,d,4.51,17.35,4.92,12.78,4.25,17.14,38,38,38,0,0
4,2,a,3.99,5.66,4.28,5.69,3.59,5.32,38,38,38,1,1
5,2,b,3.88,6.48,4.27,6.48,3.4,5.29,38,38,38,1,0
6,2,c,4.02,5.68,4.31,5.42,3.61,5.39,38,38,38,0,1
7,2,d,3.93,6.77,4.29,6.06,3.44,5.72,38,38,38,0,0
8,3,a,4.35,4.37,4.65,6.84,3.98,5.53,37,37,37,1,1
9,3,b,4.31,4.95,4.6,8.23,3.87,5.64,37,37,37,1,0
10,3,c,4.47,7.4,4.83,9.33,4.09,8.14,37,37,37,0,1
11,3,d,4.44,8.53,4.71,10.71,4.08,9.08,37,37,37,0,0
12,4,a,4.06,2.0,4.51,6.69,3.97,3.71,39,39,39,1,1
13,4,b,4.01,2.34,4.49,7.62,3.9,5.3,39,39,39,1,0
14,4,c,3.95,5.34,4.42,8.42,3.9,9.46,41,41,41,0,1
15,4,d,3.9,6.86,4.41,9.64,3.85,10.86,41,41,41,0,0
16,5,a,4.24,4.54,4.68,6.81,4.16,3.41,36,36,36,1,1
17,5,b,4.14,4.81,4.59,8.46,4.09,4.21,36,36,36,1,0
18,5,c,4.54,12.56,4.85,12.17,4.37,11.2,36,36,36,0,1
19,5,d,4.5,16.75,4.78,14.99,4.39,14.41,36,36,36,0,0
20,6,a,3.91,4.71,4.15,5.82,3.72,3.78,40,40,40,1,1
21,6,b,4.09,5.22,4.3,6.44,3.84,4.13,40,40,40,1,0
22,6,c,3.96,8.61,4.22,8.27,3.88,9.4,40,40,40,0,1
23,6,d,4.13,10.02,4.35,10.39,4.01,11.0,40,40,40,0,0
24,7,a,4.53,4.75,4.87,4.18,4.23,5.65,33,33,33,1,1
25,7,b,4.77,5.73,5.2,5.54,4.36,5.05,33,33,33,1,0
26,7,c,4.39,5.75,4.71,4.53,4.23,7.25,33,33,33,0,1
27,7,d,4.39,5.75,4.71,4.53,4.23,7.25,33,33,33,0,0
28,8,a,4.19,3.06,4.44,3.87,4.11,2.27,36,36,36,1,1
29,8,b,4.12,3.21,4.45,3.83,4.03,2.65,36,36,36,1,0
30,8,c,4.24,4.13,4.46,4.62,4.31,3.49,36,36,36,0,1
31,8,d,4.15,4.61,4.36,4.83,4.31,5.47,36,36,36,0,0
32,9,a,4.56,7.16,4.99,8.84,4.14,4.63,37,37,37,1,1
33,9,b,4.59,7.45,5.12,9.6,4.14,4.52,37,37,37,1,0
34,9,c,4.71,10.25,5.17,10.91,4.37,9.92,37,37,37,0,1
35,9,d,4.73,11.01,5.24,12.14,4.37,9.83,37,37,37,0,0
36,10,a,4.2,4.52,4.42,5.06,3.88,3.88,41,41,41,1,1
37,10,b,4.1,4.84,4.36,5.8,3.82,4.22,41,41,41,1,0
38,10,c,4.35,5.96,4.51,6.62,3.98,4.87,41,41,41,0,1
39,10,d,4.31,7.74,4.44,8.96,3.92,6.34,41,41,41,0,0
40,11,a,4.02,2.92,4.16,3.32,3.63,3.57,36,36,36,1,1
41,11,b,4.06,3.05,4.27,3.94,3.7,3.66,36,36,36,1,0
42,11,c,4.11,8.52,4.26,6.56,3.92,10.29,36,36,36,0,1
43,11,d,4.11,8.5,4.34,7.5,3.91,10.55,36,36,36,0,0
44,12,a,4.74,13.06,5.2,18.63,4.12,9.89,37,37,37,1,1
45,12,b,4.61,14.66,5.04,15.96,4.0,10.26,37,37,37,1,0
46,12,c,4.96,13.11,5.51,19.66,4.65,11.91,34,34,34,0,1
47,12,d,4.78,13.52,5.27,16.3,4.48,13.21,34,34,34,0,0
48,13,a,4.85,7.68,5.21,8.2,4.51,3.3,34,34,34,1,1
49,13,b,4.86,8.32,5.16,8.31,4.51,3.44,34,34,34,1,0
50,13,c,5.02,9.11,5.37,8.13,4.95,5.19,33,33,33,0,1
51,13,d,5.01,10.52,5.29,9.04,5.03,6.54,33,33,33,0,0
52,14,a,4.5,2.44,4.71,3.44,4.72,4.92,35,35,35,1,1
53,14,b,4.46,3.56,4.71,3.7,4.55,5.3,35,35,35,1,0
54,14,c,4.54,4.67,4.72,3.98,4.77,9.11,35,35,35,0,1
55,14,d,4.5,5.77,4.7,4.52,4.65,10.41,35,35,35,0,0
