,ID,Attraction,Violation,Condition,ilm_sent_mean_surp,ilm_target_mean_surp,distilgpt2_sent_mean_surp,distilgpt2_target_mean_surp,gptneo_sent_mean_surp,gptneo_target_mean_surp,ilm_len_tokens,distilgpt2_len_tokens,gptneo_len_tokens,attraction,violation,morphosyntactic_violation,semantic_violation,morphosyntactic_attraction,semantic_attraction
0,1,none,none,s,5.69,6.53,6.65,6.12,5.8,6.51,7,7,7,0,0,0,0,0,0
1,1,none,morphosyntactic,a,6.05,10.34,7.05,9.97,6.42,11.17,7,7,7,0,1,1,0,0,0
2,1,morphosyntactic,morphosyntactic,b,6.85,10.17,7.77,9.64,6.72,8.72,7,7,7,1,1,1,0,1,0
3,1,none,semantic,c,7.22,14.63,8.15,15.62,7.41,15.49,7,7,7,0,1,0,1,0,0
4,1,semantic,semantic,d,6.98,14.06,8.26,17.19,7.45,15.61,8,8,8,1,1,0,1,0,1
5,2,none,none,s,5.66,7.92,6.41,7.88,6.28,8.23,10,10,10,0,0,0,0,0,0
6,2,none,morphosyntactic,a,6.11,8.87,6.89,9.34,6.91,8.52,10,10,10,0,1,1,0,0,0
7,2,morphosyntactic,morphosyntactic,b,6.36,8.53,6.89,8.2,7.08,8.33,10,10,10,1,1,1,0,1,0
8,2,none,semantic,c,6.65,13.56,7.5,13.23,7.4,15.43,9,9,9,0,1,0,1,0,0
9,2,semantic,semantic,d,6.94,12.07,7.73,12.68,6.52,13.31,10,10,10,1,1,0,1,0,1
10,3,none,none,s,6.61,10.38,7.36,9.51,6.51,8.73,8,8,8,0,0,0,0,0,0
11,3,none,morphosyntactic,a,6.95,12.94,7.9,14.2,7.19,13.77,8,8,8,0,1,1,0,0,0
12,3,morphosyntactic,morphosyntactic,b,6.0,11.89,6.45,10.84,6.2,13.09,9,9,9,1,1,1,0,1,0
13,3,none,semantic,c,6.8,8.14,7.44,7.39,6.43,6.69,9,9,9,0,1,0,1,0,0
14,3,semantic,semantic,d,4.89,7.96,5.35,8.14,4.72,6.48,12,12,12,1,1,0,1,0,1
15,4,none,none,s,6.01,5.9,6.95,6.77,5.61,3.17,9,9,9,0,0,0,0,0,0
16,4,none,morphosyntactic,a,6.23,7.0,7.22,8.32,6.06,5.59,9,9,9,0,1,1,0,0,0
17,4,morphosyntactic,morphosyntactic,b,6.31,6.72,7.12,6.47,5.7,4.63,9,9,9,1,1,1,0,1,0
18,4,none,semantic,c,5.16,5.33,6.16,6.26,5.77,7.63,10,10,10,0,1,0,1,0,0
19,4,semantic,semantic,d,5.23,4.43,6.28,6.05,5.63,5.41,10,10,10,1,1,0,1,0,1
20,5,none,none,s,6.19,6.91,6.0,5.53,5.48,2.38,9,9,9,0,0,0,0,0,0
21,5,none,morphosyntactic,a,7.13,15.68,7.36,15.98,6.65,11.0,8,8,8,0,1,1,0,0,0
22,5,morphosyntactic,morphosyntactic,b,7.28,14.97,7.42,13.82,6.77,10.16,8,8,8,1,1,1,0,1,0
23,5,none,semantic,c,7.12,17.07,7.32,16.39,6.68,11.23,8,8,8,0,1,0,1,0,0
24,5,semantic,semantic,d,7.97,16.56,8.4,15.08,7.58,12.35,8,8,8,1,1,0,1,0,1
25,6,none,none,s,5.74,8.58,6.57,7.72,6.07,4.85,10,10,10,0,0,0,0,0,0
26,6,none,morphosyntactic,a,5.92,10.95,6.84,11.08,6.42,9.41,10,10,10,0,1,1,0,0,0
27,6,morphosyntactic,morphosyntactic,b,5.84,10.29,6.7,10.03,6.53,8.47,10,10,10,1,1,1,0,1,0
28,6,none,semantic,c,4.79,5.88,5.6,6.05,5.08,5.18,12,12,12,0,1,0,1,0,0
29,6,semantic,semantic,d,5.0,5.35,5.89,5.87,5.44,4.05,11,11,11,1,1,0,1,0,1
30,7,none,none,s,5.37,14.17,6.24,14.48,5.24,11.99,12,12,12,0,0,0,0,0,0
31,7,none,morphosyntactic,a,5.47,16.6,6.49,16.9,5.42,15.74,12,12,12,0,1,1,0,0,0
32,7,morphosyntactic,morphosyntactic,b,5.21,15.25,5.96,14.35,5.18,15.26,13,13,13,1,1,1,0,1,0
33,7,none,semantic,c,5.08,9.06,5.95,7.95,5.21,7.36,12,12,12,0,1,0,1,0,0
34,7,semantic,semantic,d,5.65,7.22,6.59,6.16,5.59,4.88,10,10,10,1,1,0,1,0,1
35,8,none,none,s,6.58,10.18,7.29,10.27,6.36,10.38,10,10,10,0,0,0,0,0,0
36,8,none,morphosyntactic,a,7.28,14.76,7.89,14.16,6.98,14.49,10,10,10,0,1,1,0,0,0
37,8,morphosyntactic,morphosyntactic,b,6.36,13.39,6.67,12.24,6.0,13.32,12,12,12,1,1,1,0,1,0
38,8,none,semantic,c,6.15,6.56,6.63,5.92,5.95,6.21,11,11,11,0,1,0,1,0,0
39,8,semantic,semantic,d,6.27,6.17,6.87,5.69,6.2,5.78,11,11,11,1,1,0,1,0,1
40,9,none,none,s,6.17,7.77,6.4,5.14,7.08,6.79,9,9,9,0,0,0,0,0,0
41,9,none,morphosyntactic,a,6.65,11.99,6.87,10.96,7.55,13.07,9,9,9,0,1,1,0,0,0
42,9,morphosyntactic,morphosyntactic,b,5.98,9.39,6.33,6.74,6.4,9.99,10,10,10,1,1,1,0,1,0
43,9,none,semantic,c,5.55,3.8,6.06,4.34,6.22,4.16,10,10,10,0,1,0,1,0,0
44,9,semantic,semantic,d,5.22,3.38,5.82,4.01,5.69,2.8,10,10,10,1,1,0,1,0,1
45,10,none,none,s,7.17,9.79,7.63,10.41,6.67,8.99,9,9,9,0,0,0,0,0,0
46,10,none,morphosyntactic,a,7.69,15.51,8.23,16.46,6.92,12.86,9,9,9,0,1,1,0,0,0
47,10,morphosyntactic,morphosyntactic,b,7.75,13.59,8.44,13.73,6.93,10.5,9,9,9,1,1,1,0,1,0
48,10,none,semantic,c,7.19,13.23,7.58,12.33,6.74,13.66,9,9,9,0,1,0,1,0,0
49,10,semantic,semantic,d,7.01,10.75,7.63,10.81,6.35,10.89,9,9,9,1,1,0,1,0,1
50,11,none,none,s,4.71,10.62,5.99,15.34,4.72,6.99,10,10,10,0,0,0,0,0,0
